NAME_1,Year,Rate,,
Chandigarh,2005-2006,,,
NCT of Delhi,2005-2006,26.5,,
Haryana,2005-2006,32.7,,
Himachal Pradesh,2005-2006,24.8,,
Jammu and Kashmir,2005-2006,19.4,,
Punjab,2005-2006,27.7,,
Rajasthan,2005-2006,27.5,,
Uttarakhand,2005-2006,24.6,,
Chhattisgarh,2005-2006,17.5,,
Madhya Pradesh,2005-2006,23.4,,
Uttar Pradesh,2005-2006,25.1,,
Bihar,2005-2006,27.6,,
Jharkhand,2005-2006,19.1,,
Odisha,2005-2006,20.6,,
West Bengal,2005-2006,22.9,,
Arunachal Pradesh,2005-2006,14.1,,
Assam,2005-2006,19.4,,
Manipur,2005-2006,13.1,,
Meghalaya,2005-2006,18,,
Mizoram,2005-2006,7.6,,
Nagaland,2005-2006,11,,
Sikkim,2005-2006,10.3,,
Tripura,2005-2006,27.3,,
Goa,2005-2006,22.2,,
Gujarat,2005-2006,22,,
Maharashtra,2005-2006,22.1,,
Andhra Pradesh,2005-2006,19.4,,
Karnataka,2005-2006,18.7,,
Kerala,2005-2006,16.1,,
Tamil Nadu,2005-2006,17.2,,
Chandigarh,2015-2016,22.2,,
NCT of Delhi,2015-2016,26.6,,
Haryana,2015-2016,20.4,,
Himachal Pradesh,2015-2016,19.6,,
Jammu and Kashmir,2015-2016,14,,
Punjab,2015-2016,17.2,,
Rajasthan,2015-2016,21.4,,
Uttarakhand,2015-2016,24.7,,
Chhattisgarh,2015-2016,12.6,,
Madhya Pradesh,2015-2016,21.9,,
Uttar Pradesh,2015-2016,20.7,,
Bihar,2015-2016,14.4,,
Jharkhand,2015-2016,14.5,,
Odisha,2015-2016,20.8,,
West Bengal,2015-2016,16.7,,
Arunachal Pradesh,2015-2016,10.7,,
Assam,2015-2016,15.8,,
Manipur,2015-2016,9.1,,
Meghalaya,2015-2016,12.2,,
Mizoram,2015-2016,6,,
Nagaland,2015-2016,7.8,,
Sikkim,2015-2016,8.4,,
Tripura,2015-2016,17.5,,
Goa,2015-2016,22.3,,
Gujarat,2015-2016,19,,
Maharashtra,2015-2016,19.5,,
Andhra Pradesh,2015-2016,17.6,,
Karnataka,2015-2016,17.2,,
Kerala,2015-2016,15.5,,
Tamil Nadu,2015-2016,16.4,,
Chandigarh,2019-2021,16.7,,
NCT of Delhi,2019-2021,22.1,,
Haryana,2019-2021,20.5,,
Himachal Pradesh,2019-2021,15.8,,
Jammu and Kashmir,2019-2021,10.7,,
Punjab,2019-2021,22.4,,
Rajasthan,2019-2021,17.7,,
Uttarakhand,2019-2021,17.7,,
Chhattisgarh,2019-2021,15.9,,
Madhya Pradesh,2019-2021,20.5,,
Uttar Pradesh,2019-2021,20.2,,
Bihar,2019-2021,16.8,,
Jharkhand,2019-2021,15.6,,
Odisha,2019-2021,19.2,,
West Bengal,2019-2021,19,,
Arunachal Pradesh,2019-2021,10.6,,
Assam,2019-2021,16.1,,
Manipur,2019-2021,7.2,,
Meghalaya,2019-2021,11.7,,
Mizoram,2019-2021,4,,
Nagaland,2019-2021,4.7,,
Sikkim,2019-2021,9.8,,
Tripura,2019-2021,19.7,,
Goa,2019-2021,14,,
Gujarat,2019-2021,18.5,,
Maharashtra,2019-2021,20,,
Andhra Pradesh,2019-2021,16.2,,
Karnataka,2019-2021,15.9,,
Kerala,2019-2021,16.3,,
Tamil Nadu,2019-2021,17,,
