NAME_1,Age range,Persons
Jammu and Kashmir,0-4,1438
Jammu and Kashmir,5-9,1391
Jammu and Kashmir,10-14,1347
Jammu and Kashmir,15-19,1238
Jammu and Kashmir,20-24,1133
Jammu and Kashmir,25-29,1035
Jammu and Kashmir,30-34,919
Jammu and Kashmir,35-39,809
Jammu and Kashmir,40-44,698
Jammu and Kashmir,45-49,578
Jammu and Kashmir,50-54,457
Jammu and Kashmir,55-59,360
Jammu and Kashmir,60-64,291
Jammu and Kashmir,65-69,224
Jammu and Kashmir,70-74,192
Jammu and Kashmir,75-79,98
Jammu and Kashmir,80+,59
Himachal Pradesh,0-4,557
Himachal Pradesh,5-9,593
Himachal Pradesh,10-14,628
Himachal Pradesh,15-19,642
Himachal Pradesh,20-24,630
Himachal Pradesh,25-29,593
Himachal Pradesh,30-34,551
Himachal Pradesh,35-39,508
Himachal Pradesh,40-44,452
Himachal Pradesh,45-49,392
Himachal Pradesh,50-54,331
Himachal Pradesh,55-59,274
Himachal Pradesh,60-64,222
Himachal Pradesh,65-69,170
Himachal Pradesh,70-74,151
Himachal Pradesh,75-79,106
Himachal Pradesh,80+,64
Punjab,0-4,2137
Punjab,5-9,2367
Punjab,10-14,2592
Punjab,15-19,2753
Punjab,20-24,2713
Punjab,25-29,2459
Punjab,30-34,2175
Punjab,35-39,1974
Punjab,40-44,1791
Punjab,45-49,1557
Punjab,50-54,1265
Punjab,55-59,1043
Punjab,60-64,919
Punjab,65-69,738
Punjab,70-74,597
Punjab,75-79,416
Punjab,80+,249
Uttarakhand,0-4,965
Uttarakhand,5-9,1049
Uttarakhand,10-14,1120
Uttarakhand,15-19,1093
Uttarakhand,20-24,970
Uttarakhand,25-29,824
Uttarakhand,30-34,719
Uttarakhand,35-39,650
Uttarakhand,40-44,573
Uttarakhand,45-49,486
Uttarakhand,50-54,401
Uttarakhand,55-59,341
Uttarakhand,60-64,299
Uttarakhand,65-69,233
Uttarakhand,70-74,184
Uttarakhand,75-79,111
Uttarakhand,80+,67
Haryana,0-4,2397
Haryana,5-9,2510
Haryana,10-14,2632
Haryana,15-19,2651
Haryana,20-24,2514
Haryana,25-29,2234
Haryana,30-34,1948
Haryana,35-39,1733
Haryana,40-44,1506
Haryana,45-49,1240
Haryana,50-54,982
Haryana,55-59,829
Haryana,60-64,737
Haryana,65-69,558
Haryana,70-74,431
Haryana,75-79,281
Haryana,80+,169
NCT of Delhi,0-4,1416
NCT of Delhi,5-9,1527
NCT of Delhi,10-14,1627
NCT of Delhi,15-19,1688
NCT of Delhi,20-24,1718
NCT of Delhi,25-29,1635
NCT of Delhi,30-34,1466
NCT of Delhi,35-39,1294
NCT of Delhi,40-44,1107
NCT of Delhi,45-49,903
NCT of Delhi,50-54,699
NCT of Delhi,55-59,545
NCT of Delhi,60-64,432
NCT of Delhi,65-69,302
NCT of Delhi,70-74,216
NCT of Delhi,75-79,133
NCT of Delhi,80+,80
Rajasthan,0-4,7785
Rajasthan,5-9,7973
Rajasthan,10-14,8061
Rajasthan,15-19,7388
Rajasthan,20-24,6404
Rajasthan,25-29,5483
Rajasthan,30-34,4801
Rajasthan,35-39,4299
Rajasthan,40-44,3752
Rajasthan,45-49,3148
Rajasthan,50-54,2529
Rajasthan,55-59,2028
Rajasthan,60-64,1681
Rajasthan,65-69,1332
Rajasthan,70-74,1094
Rajasthan,75-79,491
Rajasthan,80+,299
Uttar Pradesh,0-4,22437
Uttar Pradesh,5-9,24290
Uttar Pradesh,10-14,25165
Uttar Pradesh,15-19,22566
Uttar Pradesh,20-24,18343
Uttar Pradesh,25-29,15045
