NAME_1,Median_Age,Mean_Age
Jammu and Kashmir,20-24,22.0
Himachal Pradesh,25-29,27.0
Punjab,25-29,27.0
Uttarakhand,20-24,22.0
Haryana,20-24,22.0
NCT of Delhi,20-24,22.0
Rajasthan,15-19,17.0
Uttar Pradesh,15-19,17.0
Bihar,15-19,17.0
Assam,20-24,22.0
West Bengal,20-24,22.0
Jharkhand,15-19,17.0
Odisha,20-24,22.0
Chhattisgarh,20-24,22.0
Madhya Pradesh,20-24,22.0
Gujarat,20-24,22.0
Maharashtra,20-24,22.0
Andhra Pradesh,25-29,27.0
Karnataka,20-24,22.0
Kerala,25-29,27.0
Tamil Nadu,25-29,27.0
North East States,20-24,22.0
